形態素	IOB2	メンション	wikipediaタイトル	wikipediaページ
一				
つ				
は				
、				
小沢				
さん				
に				
同じ				
こと				
を				
お				
聞き				
いたし				
ます				
けれど				
、				
政治	B	政治資金規正法	政治資金規正法	https://ja.wikipedia.org/wiki/%E6%94%BF%E6%B2%BB%E8%B3%87%E9%87%91%E8%A6%8F%E6%AD%A3%E6%B3%95
資金	I	政治資金規正法	政治資金規正法	https://ja.wikipedia.org/wiki/%E6%94%BF%E6%B2%BB%E8%B3%87%E9%87%91%E8%A6%8F%E6%AD%A3%E6%B3%95
規正	I	政治資金規正法	政治資金規正法	https://ja.wikipedia.org/wiki/%E6%94%BF%E6%B2%BB%E8%B3%87%E9%87%91%E8%A6%8F%E6%AD%A3%E6%B3%95
法	I	政治資金規正法	政治資金規正法	https://ja.wikipedia.org/wiki/%E6%94%BF%E6%B2%BB%E8%B3%87%E9%87%91%E8%A6%8F%E6%AD%A3%E6%B3%95
で				
処理				
し				
て				
、				
きちっと				
し				
て				
いる				
の				
は				
当たり前				
です				
。				
その				
上				
で				
、				
カジノ				
関連				
企業				
です				
ね				
、				
パチンコ				
、				
パチスロ				
、				
ゲーム				
機器				
など				
の				
企業				
、				
業界				
など				
から				
パーティー				
券				
買っ				
て				
もらっ				
たり				
政治				
献金				
を				
受け				
た				
こと				
は				
、				
小沢				
さん				
、				
ござい				
ます				
か				
。				
○				
衆議				
院				
議員				
（				
小沢				
鋭				
仁君				
）				
　				
適正				
に				
処理				
を				
し				
て				
いる				
の				
は				
その				
とおり				
な				
ん				
です				
が				
、				
もう				
既に				
資料				
に				
付け				
て				
いただい				
て				
おり				
ます				
こと				
は				
事実				
で				
ござい				
ます				
。				
○				
大門				
実紀史				
君				
　				
この				
資料				
、				
収支				
報告				
書				
を				
用意				
、				
これ				
も				
全部				
じゃ				
なく				
て				
一部				
で				
ござい				
ます				
けれど				
も				
、				
パチンコ				
ホール				
の				
全国				
チェーン				
展開				
する				
ダイ				
ナム				
社				
です				
ね				
、				
これ				
から				
二				
〇				
一				
三				
年				
に				
三十				
万				
円				
、				
二				
〇				
一				
五				
年				
に				
百				
万				
円				
の				
パーティー				
券				
を				
買っ				
て				
いただい				
て				
いる				
と				
、				
買っ				
て				
いる				
と				
いう				
こと				
です				
ね				
。				
　				
この				
ダイ				
ナム				
と				
いう				
会社				
は				
どう				
いう				
会社				
です				
か				
、				
小沢				
さん				
。				
○				
衆議				
院				
議員				
（				
小沢				
鋭				
仁君				
）				
　				
パチンコ				
の				
ホール				
を				
営業				
し				
て				
いる				
会社				
だ				
と				
いう				
ふう				
に				
承知				
し				
て				
い				
ます				
。				
○				
大門				
実紀史				
君				
　				
先ほど				
の				
大阪				
の				
中				
小				
企業				
と				
は				
違っ				
て				
、				
この				
ダイ				
ナム				
と				
いう				
会社				
は				
、				
特に				
都市				
部				
など				
の				
パチンコ				
ホール				
を				
たくさん				
経営				
し				
て				
き				
た				
パチンコ				
ホール				
企業				
の				
大手				
で				
ござい				
ます				
。				
なおかつ				
今回				
の				
カジノ				
を				
積極				
的				
に				
推進				
し				
て				
き				
た				
企業				
で				
あり				
まし				
て				
、				
ダイ				
ナム				
の				
会社				
の				
ホーム				
ページ				
に				
は				
、				
投資				
家				
向け				
情報				
と				
いう				
こと				
で				
、				
カジノ				
・				
ジャパン				
へ				
の				
挑戦				
を				
表明				
し				
ます				
と				
いう				
こと				
で				
、				
とにかく				
マカオ				
、				
シンガポール				
、				
そう				
いう				
もの				
に				
関心				
持っ				
て				
いる				
云々				
等				
、				
当社				
グループ				
は				
その				
事業				
の				
柱				
に				
なっ				
て				
いく				
と				
いう				
よう				
な				
こと				
を				
宣言				
さ				
れ				
て				
おり				
ます				
し				
、				
ダイ				
ナム				
ジャパン				
の				
佐藤				
取締				
役				
会				
議長				
と				
いう				
ん				
です				
か				
ね				
、				
は				
、				
この				
アジア				
各国				
の				
カジノ				
の				
運営				
会社				
と				
度々				
接触				
さ				
れ				
て				
おり				
まし				
て				
、				
これ				
も				
新聞				
報道				
に				
も				
出				
て				
いる				
ところ				
で				
ござい				
ます				
。				
　				
後				
で				
お				
話				
も				
し				
て				
もらい				
ます				
けれど				
も				
、				
外国				
資本				
と				
ダイ				
ナム				
ジャパン				
は				
大変				
、				
この				
カジノ				
が				
解禁				
さ				
れる				
と				
いう				
こと				
を				
見込ん				
で				
ずっと				
折衝				
し				
て				
き				
て				
、				
なおかつ				
国会				
で				
この				
法案				
が				
通る				
こと				
を				
望む				
と				
いう				
こと				
も				
はっきり				
掲げ				
て				
こ				
られ				
て				
おり				
ます				
し				
、				
ちなみ				
に				
、				
この				
法案				
が				
衆議				
院				
で				
可決				
さ				
れ				
た				
とき				
に				
香港				
市場				
で				
何				
が				
起き				
た				
か				
と				
いい				
ます				
と				
、				
この				
ダイ				
ナム				
ジャパン				
の				
株				
が				
急				
上昇				
し				
た				
と				
いう				
こと				
が				
ある				
わけ				
で				
あり				
ます				
。				
ダイ				
ナム				
が				
カジノ				
に				
食い込ん				
で				
いく				
だろう				
と				
、				
株				
は				
買っ				
て				
おい				
た				
方				
が				
いい				
と				
いう				
こと				
で				
急				
上昇				
し				
た				
。				
香港				
市場				
です				
から				
ね				
、				
なかなか				
報道				
は				
なかっ				
た				
わけ				
です				
けれど				
も				
、				
目立た				
ない				
ん				
です				
けれど				
も				
、				
急				
上昇				
し				
て				
いる				
と				
、				
こう				
いう				
会社				
で				
あり				
ます				
。				
　				
これ				
は				
、				
小沢				
さん				
ね				
、				
先ほど				
の				
西村				
さん				
の				
中				
小				
企業				
と				
は				
違っ				
て				
、				
もう				
直接				
、				
カジノ	B	カジノ推進、カジノ解禁法	特定複合観光施設区域の整備の推進に関する法律	https://ja.wikipedia.org/wiki/%E7%89%B9%E5%AE%9A%E8%A4%87%E5%90%88%E8%A6%B3%E5%85%89%E6%96%BD%E8%A8%AD%E5%8C%BA%E5%9F%9F%E3%81%AE%E6%95%B4%E5%82%99%E3%81%AE%E6%8E%A8%E9%80%B2%E3%81%AB%E9%96%A2%E3%81%99%E3%82%8B%E6%B3%95%E5%BE%8B
推進	I	カジノ推進、カジノ解禁法	特定複合観光施設区域の整備の推進に関する法律	https://ja.wikipedia.org/wiki/%E7%89%B9%E5%AE%9A%E8%A4%87%E5%90%88%E8%A6%B3%E5%85%89%E6%96%BD%E8%A8%AD%E5%8C%BA%E5%9F%9F%E3%81%AE%E6%95%B4%E5%82%99%E3%81%AE%E6%8E%A8%E9%80%B2%E3%81%AB%E9%96%A2%E3%81%99%E3%82%8B%E6%B3%95%E5%BE%8B
、	I	カジノ推進、カジノ解禁法	特定複合観光施設区域の整備の推進に関する法律	https://ja.wikipedia.org/wiki/%E7%89%B9%E5%AE%9A%E8%A4%87%E5%90%88%E8%A6%B3%E5%85%89%E6%96%BD%E8%A8%AD%E5%8C%BA%E5%9F%9F%E3%81%AE%E6%95%B4%E5%82%99%E3%81%AE%E6%8E%A8%E9%80%B2%E3%81%AB%E9%96%A2%E3%81%99%E3%82%8B%E6%B3%95%E5%BE%8B
カジノ	I	カジノ推進、カジノ解禁法	特定複合観光施設区域の整備の推進に関する法律	https://ja.wikipedia.org/wiki/%E7%89%B9%E5%AE%9A%E8%A4%87%E5%90%88%E8%A6%B3%E5%85%89%E6%96%BD%E8%A8%AD%E5%8C%BA%E5%9F%9F%E3%81%AE%E6%95%B4%E5%82%99%E3%81%AE%E6%8E%A8%E9%80%B2%E3%81%AB%E9%96%A2%E3%81%99%E3%82%8B%E6%B3%95%E5%BE%8B
解禁	I	カジノ推進、カジノ解禁法	特定複合観光施設区域の整備の推進に関する法律	https://ja.wikipedia.org/wiki/%E7%89%B9%E5%AE%9A%E8%A4%87%E5%90%88%E8%A6%B3%E5%85%89%E6%96%BD%E8%A8%AD%E5%8C%BA%E5%9F%9F%E3%81%AE%E6%95%B4%E5%82%99%E3%81%AE%E6%8E%A8%E9%80%B2%E3%81%AB%E9%96%A2%E3%81%99%E3%82%8B%E6%B3%95%E5%BE%8B
法	I	カジノ推進、カジノ解禁法	特定複合観光施設区域の整備の推進に関する法律	https://ja.wikipedia.org/wiki/%E7%89%B9%E5%AE%9A%E8%A4%87%E5%90%88%E8%A6%B3%E5%85%89%E6%96%BD%E8%A8%AD%E5%8C%BA%E5%9F%9F%E3%81%AE%E6%95%B4%E5%82%99%E3%81%AE%E6%8E%A8%E9%80%B2%E3%81%AB%E9%96%A2%E3%81%99%E3%82%8B%E6%B3%95%E5%BE%8B
を				
求め				
て				
き				
た				
もう				
中心				
の				
企業				
グループ				
から				
こう				
いう				
パーティー				
券				
を				
買っ				
て				
いただい				
て				
、				
個々				
で				
議員				
立法				
で				
提案				
し				
て				
、				
カジノ				
は				
前				
に				
やる				
べき				
だ				
、				
進める				
べき				
だ				
と				
。				
これ				
は				
、				
判断				
する				
の				
は				
いずれ				
司法				
の				
場				
か				
も				
分かり				
ませ				
ん				
けれど				
も				
、				
大変				
、				
大変				
危ない				
話				
じゃ				
ない				
ん				
です				
か				
。				
大変				
国会				
議員				
と				
し				
て				
疑わ				
れる				
話				
じゃ				
ない				
ん				
です				
か				
。				
疑惑				
が				
持た				
れる				
よう				
な				
話				
じゃ				
ない				
ん				
です				
か				
。				
そう				
いう				
こと				
を				
自覚				
さ				
れ				
て				
やっ				
て				
こ				
られ				
まし				
た				
か				
、				
小沢				
さん				
。				
○				
衆議				
院				
議員				
（				
小沢				
鋭				
仁君				
）				
　				
こう				
いう				
形				
で				
適正				
に				
処理				
を				
し				
て				
、				
そして				
、				
私				
自身				
も				
ある				
意味				
で				
は				
そう				
いう				
思い				
が				
ない				
もの				
です				
から				
、				
きちっと				
処理				
を				
さ				
せ				
て				
いただい				
て				
いる				
わけ				
で				
ござい				
ます				
。				
　				
ここ				
の				
佐藤				
会長				
、				
議長				
って				
今				
おっしゃい				
まし				
た				
けれど				
も				
、				
最近				
ずっと				
日本				
に				
いらっしゃい				
ませ				
ん				
の				
で				
、				
こう				
し				
た				
話				
、				
私				
は				
全く				
し				
て				
おり				
ませ				
ん				
。				
で				
あり				
ます				
の				
で				
、				
元々				
パチンコ				
ホール				
の				
会社				
だ				
と				
いう				
こと				
は				
事実				
で				
あり				
ます				
けれど				
も				
、				
この				
カジノ				
に				
関し				
て				
私				
が				
頼ま				
れ				
て				
云々				
など				
と				
いう				
こと				
は				
全く				
ござい				
ませ				
ん				
。				
○				
大門				
実紀史				
君				
　				
この				
佐藤				
社長				
と				
お				
会い				
に				
なっ				
た				
こと				
も				
ない				
です				
か				
。				
あっ				
、				
議長				
です				
か				
。				
○				
衆議				
院				
議員				
（				
小沢				
鋭				
仁君				
）				
　				
いえ				
、				
会っ				
た				
こと				
は				
もちろん				
あり				
ます				
けれど				
も				
、				
最近				
は				
あり				
ませ				
ん				
と				
先ほど				
申し上げ				
た				
わけ				
で				
あり				
ます				
。				
○				
大門				
実紀史				
君				
　				
これ				
以上				
は				
、				
私				
は				
と				
いう				
より				
も				
、				
まあ				
場合				
に				
よっ				
て				
は				
国会				
で				
しかる				
べき				
場				
が				
必要				
か				
も				
分かり				
ませ				
ん				
けれど				
、				
司法				
の				
方				
で				
調べ				
て				
もらう				
こと				
に				
なる				
疑惑				
の				
ある				
、				
今日				
の				
時点				
で				
は				
申し上げ				
て				
おき				
たい				
と				
思い				
ます				
けれど				
。				
　				
この				
前				
も				
申し上げ				
まし				
た				
けど				
、				
決して				
与党				
の				
議員				
の				
皆				
さん				
も				
全て				
が				
最初				
から				
カジノ				
が				
いい				
と				
、				
ＩＲ				
必要				
だ				
と				
思っ				
て				
いる				
方				
、				
余り				
、				
そんな				
に				
たくさん				
いらっしゃら				
なかっ				
た				
です				
よ				
ね				
、				
最初				
は				
。				
ＩＲ				
と				
いう				
観光				
戦略				
で				
、				
名前				
だけ				
貸し				
て				
くれ				
と				
言わ				
れ				
て				
議員				
連盟				
に				
入っ				
た				
方				
と				
か				
、				
民主				
党				
も				
おら				
れ				
た				
ん				
です				
けど				
。				
ただ				
、				
非常				
に				
中心				
で				
頑張っ				
て				
こ				
られ				
て				
、				
どう				
し				
て				
も				
これ				
を				
粘り強く				
やっ				
て				
こ				
られ				
た				
方				
と				
いう				
の				
は				
、				
国会				
で				
も				
取り上げ				
まし				
た				
けれど				
、				
パチンコ				
・				
チェーン				
ストア				
協会				
と				
か				
、				
ずっと				
一貫				
し				
て				
そう				
いう				
業界				
と				
、				
政治				
分野				
アドバイザー				
と				
か				
に				
なっ				
て				
やら				
れ				
た				
方				
が				
多い				
もの				
です				
から				
。				
それ				
と				
、				
地方				
で				
カジノ				
を				
やり				
たい				
と				
いう				
声				
を				
受け				
て				
、				
地元				
の				
企業				
の				
声				
を				
受け				
て				
推進				
と				
いう				
方				
も				
いらっしゃい				
ます				
けれど				
も				
、				
大体				
そう				
いう				
何				
か				
支援				
し				
て				
いただい				
て				
いる				
方々				
が				
いる				
から				
頑張っ				
て				
いる				
と				
。				
　				
ちょっと				
ほか				
の				
問題				
と				
違っ				
て				
、				
これ				
は				
やっぱり				
賭博				
問題				
です				
から				
、				
なかなか				
本当				
は				
余り				
関わり				
たく				
ない				
と				
いう				
方				
が				
多い				
ん				
です				
けれど				
も				
、				
そう				
いう				
こと				
が				
ずっと				
この				
問題				
取り上げ				
て				
き				
て				
色				
濃く				
感じる				
もの				
です				
から				
、				
やっぱり				
小沢				
さん				
の				
場合				
は				
一番				
、				
この				
ダイ				
ナム				
と				
いう				
カジノ				
推進				
の				
中心				
の				
企業				
グループ				
と				
こう				
いう				
関係				
に				
ある				
と				
いう				
の				
は				
大変				
私				
は				
まずい				
と				
思い				
ます				
、				
こう				
いう				
議員				
立法				
を				
提案				
する				
方				
と				
し				
て				
。				
　				
実				
は				
、				
パーティー				
券				
と				
か				
政治				
献金				
と				
いう				
の				
は				
、				
今				
は				
なかなか				
、				
パーティー				
券				
その				
もの				
も				
まとまっ				
て				
買わ				
なきゃ				
名前				
も				
出				
ませ				
ん				
し				
、				
分散				
さ				
れ				
て				
い				
ます				
から				
ブラック				
ボックス				
な				
ん				
です				
けれど				
、				
私				
は				
やっぱり				
株				
の				
問題				
、				
カジノ				
関連				
株				
、				
あと				
、				
今				
大手				
の				
銀行				
なんか				
も				
絡ん				
で				
カジノ				
投資				
ファンド				
と				
いう				
の				
が				
でき				
始め				
て				
おり				
ます				
。				
投資				
し				
て				
リターン				
と				
いう				
よう				
な				
こと				
から				
、				
決して				
政治				
献金				
と				
か				
パーティー				
券				
買っ				
て				
もらう				
よう				
な				
原始				
的				
な				
手法				
だけ				
で				
マネー				
が				
動い				
て				
いる				
わけ				
で				
は				
ない				
ん				
です				
よ				
ね				
。				
　				
そんな				
こと				
も				
含め				
て				
、				
もちろん				
インフラ				
整備				
で				
も				
お				
金				
が				
動く				
と				
思い				
ます				
から				
、				
これ				
は				
巨額				
の				
マネー				
が				
動い				
て				
いる				
と				
いう				
こと				
を				
前				
から				
見				
て				
き				
て				
いる				
ところ				
で				
ござい				
ます				
けれど				
、				
我が				
党				
も				
こう				
なっ				
たら				
全面				
的				
に				
この				
調査				
に				
入ろう				
と				
いう				
ふう				
に				
思っ				
て				
おり				
ます				
けれど				
も				
、				
本当				
に				
小沢				
さん				
、				
少なく				
とも				
今				
の				
時点				
で				
受け取っ				
た				
パーティー				
券				
代				
と				
か				
表面				
化				
し				
て				
いる				
分				
だけ				
で				
も				
お				
返し				
に				
なる				
べき				
じゃ				
ない				
です				
か				
。				
いかが				
です				
か				
。				
立法				
の				
提案				
者				
と				
し				
て				
、				
それ				
ぐらい				
当たり前				
だ				
と				
思い				
ます				
が				
、				
どう				
です				
か				
。				
○				
衆議				
院				
議員				
（				
小沢				
鋭				
仁君				
）				
　				
検討				
は				
し				
たい				
と				
思っ				
て				
おり				
ます				
が				
、				
後ろめたい				
思い				
は				
ない				
もの				
です				
から				
、				
この				
後				
、				
何				
と				
いい				
ます				
か				
、				
李下				
に				
冠				
を				
正さ				
ず				
と				
、				
こう				
いう				
話				
も				
あろう				
か				
と				
思い				
ます				
の				
で				
、				
検討				
し				
たい				
と				
は				
思い				
ます				
。				
○				
大門				
実紀史				
君				
　				
今日				
は				
もう				
その				
指摘				
だけ				
に				
とどめ				
て				
おき				
ます				
。				
　				
午前				
中				
も				
あり				
まし				
た				
けれど				
、				
例				
の				
、				
例				
の				
と				
いい				
ます				
か				
、				
違法				
性				
の				
阻却				
の				
問題				
です				
ね				
。				
午前				
中				
、				
上月				
さん				
から				
も				
十				
二				
月				
七				
日				
の				
、				
お				
手元				
の				
資料				
の				
一				
枚				
目				
です				
ね				
、				
前				
も				
配り				
まし				
た				
が				
、				
十				
二				
月				
七				
日				
、				
私				
の				
質疑				
に				
合わせ				
て				
法務				
省				
が				
出し				
て				
くれ				
た				
この				
文書				
です				
。				
誤解				
の				
ない				
よう				
に				
と				
いう				
こと				
で				
上月				
さん				
、				
質問				
し				
て				
いただい				
た				
ん				
です				
けど				
、				
私				
も				
誤解				
の				
ない				
よう				
に				
整理				
し				
直し				
たい				
と				
思っ				
て				
おり				
ます				
。				
　				
前回				
の				
答弁				
を				
改めて				
整理				
し				
て				
もらい				
たい				
と				
、				
確認				
し				
たい				
と				
思う				
ん				
です				
けれど				
、				
まず				
、				
法務				
省				
は				
、				
競馬				
や				
競艇				
など				
の				
公営				
競技				
に				
関わる				
特別				
立法				
に				
当たっ				
て				
は				
、				
この				
文書				
に				
ある				
よう				
な				
立場				
から				
意見				
を				
言っ				
て				
き				
た				
と				
いう				
こと				
で				
いい				
です				
か				
、				
まず				
。				
○				
政府				
参考				
人				
（				
加藤				
俊治				
君				
）				
　				
お				
答え				
申し上げ				
ます				
。				
　				
基本				
的				
に				
御				
指摘				
の				
とおり				
で				
ござい				
ます				
が				
、				
既存				
の				
公営				
競技				
に				
係る				
特別				
法				
の				
立法				
に				
当たっ				
て				
は				
、				
ここ				
に				
書か				
れ				
て				
ある				
よう				
な				
点				
に				
着目				
し				
て				
意見				
を				
申し述べ				
て				
き				
た				
と				
いう				
こと				
で				
ござい				
ます				
。				
○				
大門				
実紀史				
君				
　				
それ				
で				
、				
こう				
いう				
御				
意見				
を				
述べ				
て				
こ				
られ				
て				
、				
結果				
と				
し				
て				
競馬				
や				
競艇				
など				
の				
運営				
主体				
と				
いう				
の				
は				
官				
又				
は				
それ				
に				
準じる				
団体				
と				
さ				
れ				
て				
き				
た				
と				
、				
まあ				
結果				
と				
し				
て				
です				
けど				
ね				
。				
そう				
いう				
意見				
を				
基				
に				
検討				
し				
て				
、				
結果				
と				
し				
て				
競馬				
、				
競艇				
など				
の				
運営				
主体				
は				
官				
又				
は				
それ				
に				
準じる				
団体				
と				
さ				
れ				
て				
き				
た				
と				
いう				
こと				
で				
よろしい				
です				
か				
。				
○				
政府				
参考				
人				
（				
加藤				
俊治				
君				
）				
　				
お				
答え				
申し上げ				
ます				
。				
　				
現行				
の				
公営				
競技				
等				
の				
うち				
、				
競馬				
の				
施行				
主体				
は				
日本				
中央				
競馬				
会				
あるいは				
都				
道				
府				
県				
又				
は				
指定				
市				
町				
村				
と				
さ				
れ				
て				
おり				
、				
競輪				
、				
小型				
自動				
車				
競走				
及び				
モーターボート				
競走				
の				
施行				
主体				
は				
都				
道				
府				
県				
、				
指定				
市				
町				
村				
等				
と				
さ				
れ				
て				
おり				
ます				
。				
これ				
ら				
の				
施行				
主体				
は				
、				
政府				
が				
全額				
出資				
する				
特殊				
法人				
で				
ある				
か				
又				
は				
地方				
公共				
団体				
に				
限ら				
れ				
て				
おり				
、				
その				
意味				
で				
官				
又				
は				
これ				
に				
準じる				
団体				
に				
限ら				
れ				
て				
いる				
と				
いう				
議員				
の				
御				
指摘				
は				
その				
とおり				
で				
あろう				
と				
認識				
し				
て				
おり				
ます				
。				
○				
大門				
実紀史				
君				
　				
そう				
です				
ね				
。				
午前				
中				
も				
加藤				
さん				
は				
正確				
に				
答弁				
さ				
れ				
て				
おり				
まし				
て				
、				
上月				
さん				
の				
質問				
に				
対し				
て				
です				
ね				
、				
八				
項目				
で				
意見				
を				
申し上げ				
て				
き				
て				
、				
その				
結果				
、				
現に				
ある				
こと				
の				
例示				
が				
この				
括弧				
の				
中				
に				
ある				
もの				
です				
と				
、				
その				
とおり				
です				
よ				
ね				
。				
今				
まで				
結果				
と				
し				
て				
公営				
主体				
しか				
認め				
て				
こ				
なかっ				
た				
と				
、				
ただし				
、				
最初				
から				
公営				
主体				
じゃ				
なきゃ				
駄目				
です				
よ				
と				
いう				
の				
は				
どこ				
に				
も				
書い				
て				
い				
ない				
と				
、				
それ				
は				
その				
とおり				
です				
ね				
。				
検討				
し				
た				
、				
意見				
を				
申し上げ				
た				
結果				
と				
し				
て				
公営				
主体				
しか				
認め				
られ				
て				
こ				
なかっ				
た				
と				
、				
今				
あっ				
た				
とおり				
で				
ござい				
ます				
。				
　				
問題				
は				
、				
今回				
の				
ＩＲ	B	ＩＲ、カジノ解禁法案	特定複合観光施設区域の整備の推進に関する法律	https://ja.wikipedia.org/wiki/%E7%89%B9%E5%AE%9A%E8%A4%87%E5%90%88%E8%A6%B3%E5%85%89%E6%96%BD%E8%A8%AD%E5%8C%BA%E5%9F%9F%E3%81%AE%E6%95%B4%E5%82%99%E3%81%AE%E6%8E%A8%E9%80%B2%E3%81%AB%E9%96%A2%E3%81%99%E3%82%8B%E6%B3%95%E5%BE%8B
、	I	ＩＲ、カジノ解禁法案	特定複合観光施設区域の整備の推進に関する法律	https://ja.wikipedia.org/wiki/%E7%89%B9%E5%AE%9A%E8%A4%87%E5%90%88%E8%A6%B3%E5%85%89%E6%96%BD%E8%A8%AD%E5%8C%BA%E5%9F%9F%E3%81%AE%E6%95%B4%E5%82%99%E3%81%AE%E6%8E%A8%E9%80%B2%E3%81%AB%E9%96%A2%E3%81%99%E3%82%8B%E6%B3%95%E5%BE%8B
カジノ	I	ＩＲ、カジノ解禁法案	特定複合観光施設区域の整備の推進に関する法律	https://ja.wikipedia.org/wiki/%E7%89%B9%E5%AE%9A%E8%A4%87%E5%90%88%E8%A6%B3%E5%85%89%E6%96%BD%E8%A8%AD%E5%8C%BA%E5%9F%9F%E3%81%AE%E6%95%B4%E5%82%99%E3%81%AE%E6%8E%A8%E9%80%B2%E3%81%AB%E9%96%A2%E3%81%99%E3%82%8B%E6%B3%95%E5%BE%8B
解禁	I	ＩＲ、カジノ解禁法案	特定複合観光施設区域の整備の推進に関する法律	https://ja.wikipedia.org/wiki/%E7%89%B9%E5%AE%9A%E8%A4%87%E5%90%88%E8%A6%B3%E5%85%89%E6%96%BD%E8%A8%AD%E5%8C%BA%E5%9F%9F%E3%81%AE%E6%95%B4%E5%82%99%E3%81%AE%E6%8E%A8%E9%80%B2%E3%81%AB%E9%96%A2%E3%81%99%E3%82%8B%E6%B3%95%E5%BE%8B
法案	I	ＩＲ、カジノ解禁法案	特定複合観光施設区域の整備の推進に関する法律	https://ja.wikipedia.org/wiki/%E7%89%B9%E5%AE%9A%E8%A4%87%E5%90%88%E8%A6%B3%E5%85%89%E6%96%BD%E8%A8%AD%E5%8C%BA%E5%9F%9F%E3%81%AE%E6%95%B4%E5%82%99%E3%81%AE%E6%8E%A8%E9%80%B2%E3%81%AB%E9%96%A2%E3%81%99%E3%82%8B%E6%B3%95%E5%BE%8B
は				
民営				
賭博				
で				
ござい				
まし				
て				
、				
歴史				
上				
初めて				
民営				
賭博				
を				
認める				
か				
どう				
か				
と				
、				
その				
違法				
性				
が				
阻却				
できる				
か				
どう				
か				
と				
いう				
の				
が				
最大				
の				
焦点				
の				
一				
つ				
で				
あり				
ます				
。				
あと				
は				
、				
もう				
具体				
的				
に				
実施				
法				
が				
出				
て				
こ				
ない				
と				
法務				
省				
も				
意見				
の				
言い				
よう				
も				
ない				
と				
いう				
ふう				
に				
思い				
ます				
し				
、				
結果				
と				
し				
て				
どう				
なる				
か				
別				
です				
から				
ね				
。				
　				
ただ				
、				
ちょっと				
一般				
論				
と				
し				
て				
、				
なぜ				
そもそも				
この				
八				
項目				
な				
の				
か				
と				
いう				
こと				
も				
含め				
て				
、				
一般				
論				
と				
し				
て				
ちょっと				
お				
聞き				
し				
たい				
ん				
です				
けど				
。				
　				
まず				
最初				
の				
目的				
の				
公益				
性				
です				
ね				
、				
これ				
が				
八				
項目				
の				
一				
番				
目				
で				
あり				
ます				
。				
これ				
、				
収益				
の				
使途				
を				
公益				
性				
の				
ある				
もの				
に				
限る				
こと				
を				
含む				
と				
。				
これ				
、				
日本				
語				
を				
その				
まま				
取り				
ます				
と				
、				
収益				
の				
使途				
を				
公益				
性				
の				
ある				
もの				
に				
限る				
と				
、				
これ				
を				
含ん				
で				
もらわ				
なきゃ				
困る				
ん				
だ				
と				
。				
だ				
から				
、				
これ				
例示				
じゃ				
なく				
て				
、				
例えば				
じゃ				
なく				
て				
、				
そう				
いう				
ふう				
に				
日本				
語				
で				
読め				
ば				
読める				
わけ				
です				
ね				
。				
もう				
それ				
しか				
読め				
ない				
と				
思う				
ん				
です				
けれど				
も				
。				
です				
から				
、				
民営				
で				
は				
どう				
考え				
て				
も				
当然				
自分				
たち				
の				
企業				
利益				
出さ				
なきゃ				
いけ				
ませ				
ん				
から				
、				
公益				
性				
の				
ある				
もの				
に				
限る				
と				
いう				
こと				
は				
不				
可能				
じゃ				
ない				
か				
と				
いう				
こと				
を				
申し上げ				
た				
わけ				
です				
ね				
。				
　				
二				
つ				
目				
の				
、				
これ				
は				
後				
で				
申し上げ				
ます				
けど				
、				
この				
背景				
は				
、				
官				
又				
は				
それ				
に				
準じる				
団体				
に				
限る				
など				
です				
から				
、				
限る				
など				
と				
いう				
の				
も				
変				
な				
話				
な				
ん				
です				
けど				
、				
一応				
、				
矛盾				
し				
た				
表現				
で				
は				
あり				
ます				
けれど				
、				
官				
又				
は				
それ				
に				
準じる				
団体				
に				
限っ				
て				
き				
た				
けれど				
、				
それ				
が				
全て				
で				
ない				
と				
いう				
の				
は				
、				
おっしゃる				
よう				
に				
例示				
的				
に				
解釈				
でき				
なく				
も				
ない				
と				
いう				
ふう				
に				
思い				
ます				
ね				
。				
　				
三				
番				
目				
の				
収益				
の				
扱い				
。				
これ				
は				
もう				
完全				
に				
、				
これ				
は				
もう				
業務				
委託				
の				
話				
です				
から				
、				
主体				
は				
公				
で				
、				
公的				
主体				
で				
、				
業務				
を				
民間				
委託				
し				
た				
場合				
、				
今				
の				
競馬				
あるいは				
競輪				
です				
ね				
、				
そう				
いう				
こと				
を				
想定				
、				
その				
とき				
の				
話				
だ				
から				
、				
これ				
は				
民間				
主体				
など				
想定				
し				
て				
い				
ない				
そもそも				
話				
な				
ん				
です				
ね				
。				
　				
四				
点				
目				
の				
射幸				
性				
の				
程度				
です				
けれど				
も				
、				
これ				
は				
ちょっと				
法務				
省				
に				
聞き				
たい				
ん				
です				
けど				
、				
これ				
が				
意味				
する				
ところ				
と				
いう				
の				
は				
、				
これ				
一般				
論				
で				
いい				
です				
よ				
、				
射幸				
性				
の				
程度				
と				
いう				
こと				
が				
要件				
の				
一				
つ				
に				
なっ				
て				
いる				
と				
いう				
の				
は				
、				
射幸				
性				
を				
異常				
に				
高く				
し				
て				
は				
いけ				
ない				
、				
コントロール				
できる				
よう				
に				
し				
なさい				
と				
いう				
意味				
が				
この				
射幸				
性				
の				
程度				
と				
いう				
ところ				
に				
含ま				
れ				
て				
いる				
と				
いう				
こと				
で				
いい				
ん				
でしょう				
か				
。				
○				
政府				
参考				
人				
（				
加藤				
俊治				
君				
）				
　				
お				
答え				
を				
申し上げ				
ます				
。				
　				
賭博				
罪				
が				
犯罪				
と				
さ				
れ				
て				
いる				
趣旨				
の				
中				
に				
は				
、				
その				
賭博				
と				
いう				
行為				
が				
射幸				
心				
を				
あおる				
